Epoch: 106, TL: -0.27766194319508214, VL: -0.22999808192253113, TA: 0.27875, VA: 0.23
Epoch: 107, TL: -0.27409045810985666, VL: -0.20018570125102997, TA: 0.27375, VA: 0.2
Epoch: 108, TL: -0.2708440818606809, VL: -0.22628600895404816, TA: 0.27, VA: 0.23
Epoch: 109, TL: -0.26640014021255815, VL: -0.21888038516044617, TA: 0.26625, VA: 0.22
Epoch: 110, TL: -0.25667188761565224, VL: -0.21991682052612305, TA: 0.2575, VA: 0.22
Epoch: 111, TL: -0.27437339643107156, VL: -0.21445901691913605, TA: 0.275, VA: 0.215
Epoch: 112, TL: -0.27960663134221475, VL: -0.21999022364616394, TA: 0.28, VA: 0.22
Epoch: 113, TL: -0.2709136714449729, VL: -0.1950000375509262, TA: 0.27, VA: 0.195
Epoch: 114, TL: -0.27608105640956976, VL: -0.19500017166137695, TA: 0.27625, VA: 0.195
Epoch: 115, TL: -0.2748528834117781, VL: -0.2114870548248291, TA: 0.275, VA: 0.21
Epoch: 116, TL: -0.27793974506617763, VL: -0.1999780684709549, TA: 0.2775, VA: 0.2
Epoch: 117, TL: -0.2700098963014473, VL: -0.19995734095573425, TA: 0.27, VA: 0.2
Epoch: 118, TL: -0.2729551194488922, VL: -0.21107104420661926, TA: 0.2725, VA: 0.21
Epoch: 119, TL: -0.2787916832867701, VL: -0.20096635818481445, TA: 0.27875, VA: 0.2
Epoch: 120, TL: -0.28309982183350507, VL: -0.2149943709373474, TA: 0.28375, VA: 0.215
Epoch: 121, TL: -0.27752976055847983, VL: -0.2142522931098938, TA: 0.2775, VA: 0.215
Epoch: 122, TL: -0.28255702406405464, VL: -0.2048807293176651, TA: 0.2825, VA: 0.205
Epoch: 123, TL: -0.2715320876831856, VL: -0.1750003546476364, TA: 0.27125, VA: 0.175
Epoch: 124, TL: -0.2451716483462152, VL: -0.18713468313217163, TA: 0.245, VA: 0.19
Epoch: 125, TL: -0.27471708778571097, VL: -0.20457778871059418, TA: 0.275, VA: 0.205
Epoch: 126, TL: -0.2612969979151268, VL: -0.20494209229946136, TA: 0.26125, VA: 0.205
Epoch: 127, TL: -0.26110200292961, VL: -0.20529434084892273, TA: 0.26125, VA: 0.205
Epoch: 128, TL: -0.27334828886519086, VL: -0.21000000834465027, TA: 0.27375, VA: 0.21
Epoch: 129, TL: -0.2776033174341294, VL: -0.2031870186328888, TA: 0.2775, VA: 0.205
Epoch: 130, TL: -0.272959202593806, VL: -0.1950150430202484, TA: 0.27375, VA: 0.195
Epoch: 131, TL: -0.2838751527409292, VL: -0.20423217117786407, TA: 0.28375, VA: 0.205
Epoch: 132, TL: -0.27499072054265516, VL: -0.2068752497434616, TA: 0.275, VA: 0.205
Epoch: 133, TL: -0.2825499941861047, VL: -0.21000006794929504, TA: 0.2825, VA: 0.21
Epoch: 134, TL: -0.2775654053973296, VL: -0.20482434332370758, TA: 0.2775, VA: 0.205
Epoch: 135, TL: -0.27773266090761, VL: -0.20076324045658112, TA: 0.2775, VA: 0.2
Epoch: 136, TL: -0.2765676694342555, VL: -0.19029326736927032, TA: 0.2775, VA: 0.19
Epoch: 137, TL: -0.28458140587667075, VL: -0.1963387280702591, TA: 0.285, VA: 0.195
Epoch: 138, TL: -0.27027185130720127, VL: -0.18427447974681854, TA: 0.2725, VA: 0.185
Epoch: 139, TL: -0.25110389485686346, VL: -0.20652815699577332, TA: 0.2525, VA: 0.205
Epoch: 140, TL: -0.28243554487978945, VL: -0.1878080517053604, TA: 0.2825, VA: 0.19
Epoch: 141, TL: -0.27640844018485455, VL: -0.1632501184940338, TA: 0.27875, VA: 0.165
Epoch: 142, TL: -0.267908912466259, VL: -0.2182024121284485, TA: 0.2675, VA: 0.22
Epoch: 143, TL: -0.27624897116887104, VL: -0.18533505499362946, TA: 0.27625, VA: 0.185
Epoch: 144, TL: -0.25985767567333723, VL: -0.22685429453849792, TA: 0.26125, VA: 0.23
Epoch: 145, TL: -0.2759708333277081, VL: -0.23771712183952332, TA: 0.2775, VA: 0.245
Epoch: 146, TL: -0.2970426882400442, VL: -0.24710777401924133, TA: 0.2975, VA: 0.25
Epoch: 147, TL: -0.28299371984720734, VL: -0.1961035132408142, TA: 0.2825, VA: 0.195
Epoch: 148, TL: -0.2927560009036656, VL: -0.24748826026916504, TA: 0.295, VA: 0.245
Epoch: 149, TL: -0.29503065223398267, VL: -0.22631129622459412, TA: 0.29375, VA: 0.225
Epoch: 150, TL: -0.30024238725818153, VL: -0.2515316605567932, TA: 0.3, VA: 0.25
Epoch: 151, TL: -0.29441156581004, VL: -0.2019370049238205, TA: 0.29375, VA: 0.2
Epoch: 152, TL: -0.2894080776787586, VL: -0.17951655387878418, TA: 0.2925, VA: 0.18
Epoch: 153, TL: -0.2850311573727422, VL: -0.24088642001152039, TA: 0.28375, VA: 0.24
Epoch: 154, TL: -0.29397561783333453, VL: -0.2478991597890854, TA: 0.29625, VA: 0.25
Epoch: 155, TL: -0.3164090307885281, VL: -0.23055677115917206, TA: 0.3175, VA: 0.23
